-5.782,0.77946,-0.14305
-5.782,1.3654,-0.31328
-5.782,0.99601,-0.17137
-5.782,1.1938,-0.23691
-6.7626,1.3654,-0.44481
-5.9816,1.3647,-0.32316
-6.1624,1.3645,-0.34018
-6.3178,1.3645,-0.36052
-6.4399,1.3647,-0.37999
-6.5376,1.3649,-0.39763
-6.6143,1.365,-0.41273
-6.6752,1.3652,-0.42545
-6.7231,1.3653,-0.43592
-7.3053,0.7733,-0.44482
-7.1954,0.89326,-0.44482
-7.0965,1.0012,-0.44482
-7.0148,1.0902,-0.44482
-6.9499,1.1611,-0.44482
-6.8957,1.2201,-0.44481
-6.8518,1.2681,-0.44481
-6.8164,1.3066,-0.44481
-6.7875,1.3382,-0.44481
-6.0275,0.77841,-0.16049
-6.2506,0.77748,-0.19017
-6.4505,0.77666,-0.22591
-6.6305,0.77594,-0.26425
-6.7976,0.77527,-0.30423
-6.9607,0.77463,-0.34665
-7.1316,0.77397,-0.39409
-6.7626,-1.3654,-1.0489
-5.782,-1.3654,-1.1923
-6.6533,-1.3668,-1.0669
-6.5357,-1.3683,-1.0859
-6.3971,-1.3696,-1.1076
-6.2218,-1.3703,-1.1339
-6.011,-1.3694,-1.1634
-5.782,-2.1466,-0.61712
-5.782,-1.5469,-1.0908
-5.782,-1.6844,-0.9901
-5.782,-1.7902,-0.90314
-5.782,-1.8744,-0.83265
-5.782,-1.9435,-0.77578
-5.782,-1.9978,-0.73206
-5.782,-2.0412,-0.69777
-5.782,-2.0764,-0.67046
-5.782,-2.1048,-0.64868
-5.782,-2.1278,-0.63124
-5.8019,-2.1365,-0.62465
-5.8276,-2.1253,-0.63298
-5.8605,-2.1126,-0.64228
-5.902,-2.0975,-0.65286
-5.9529,-2.0793,-0.665
-6.0146,-2.0558,-0.67935
-6.0888,-2.0232,-0.69735
-6.1756,-1.9749,-0.72165
-6.2707,-1.9014,-0.75666
-6.363,-1.7962,-0.80716
-6.4415,-1.6748,-0.86912
-6.5103,-1.5606,-0.93186
-6.5846,-1.4672,-0.98674
-6.6696,-1.4025,-1.0268
-1.6759,-1.0331,-1.6357
-1.6759,-0.30345,-1.6352
-1.6759,-0.94798,-1.6356
-1.6759,-0.85207,-1.6356
-1.6759,-0.73666,-1.6355
-1.6759,-0.6021,-1.6354
-1.6759,-0.4561,-1.6353
3.1451,-0.25262,-1.6358
-1.5188,-0.30164,-1.6356
-1.368,-0.29994,-1.6358
-1.2227,-0.29833,-1.6358
-1.0838,-0.29681,-1.6357
-0.9514,-0.29539,-1.6356
-0.8249,-0.29404,-1.6355
-0.7035,-0.29277,-1.6354
-0.5872,-0.29156,-1.6353
-0.47622,-0.29041,-1.6352
-0.37066,-0.28933,-1.6352
-0.27,-0.28831,-1.6351
-0.17221,-0.28732,-1.6351
-0.07678,-0.28636,-1.6351
0.01639,-0.28543,-1.6351
0.10815,-0.28451,-1.6351
0.19897,-0.28361,-1.635
0.28886,-0.28271,-1.635
0.3782,-0.28183,-1.635
0.46783,-0.28094,-1.6351
0.55779,-0.28005,-1.6351
0.64808,-0.27915,-1.6351
0.73865,-0.27826,-1.6351
0.82947,-0.27736,-1.6351
